Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC02_Login unsuccessfully,Chrome 114.0.0.0,,,2023-07-17 18:42:50,2023-07-17 18:43:09,18.796s,PASSED
,,,,,,,
Test Cases/Navigation Bar/Login/Login With Invalid Account,Chrome 114.0.0.0,,,2023-07-17 18:42:50,2023-07-17 18:43:09,18.417s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-17 18:42:51,2023-07-17 18:42:58,6.860s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-17 18:42:58,2023-07-17 18:42:58,0.485s,PASSED
navigateToUrl(G_URL),Chrome 114.0.0.0,,,2023-07-17 18:42:58,2023-07-17 18:43:01,2.686s,PASSED
"click(findTestObject(""Object Repository/Page_STORE/a_Log in""))",Chrome 114.0.0.0,,,2023-07-17 18:43:01,2023-07-17 18:43:03,1.819s,PASSED
"setText(findTestObject(""Object Repository/Page_STORE/input_Username_loginusername""), ""testwithkatalon7"")",Chrome 114.0.0.0,,,2023-07-17 18:43:03,2023-07-17 18:43:04,1.169s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_STORE/input_Password_loginpassword""), ""P9ET2sDE0SE="")",Chrome 114.0.0.0,,,2023-07-17 18:43:04,2023-07-17 18:43:05,0.746s,PASSED
"click(findTestObject(""Object Repository/Page_STORE/button_Log in""))",Chrome 114.0.0.0,,,2023-07-17 18:43:05,2023-07-17 18:43:05,0.610s,PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-17 18:43:05,2023-07-17 18:43:07,2.057s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-07-17 18:43:07,2023-07-17 18:43:09,1.428s,PASSED
