Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC01_Login successfully,Chrome 114.0.0.0,,,2023-07-20 00:59:05,2023-07-20 00:59:20,14.478s,PASSED
,,,,,,,
Test Cases/Navigation Bar/Login/Login With Valid Account,Chrome 114.0.0.0,,,2023-07-20 00:59:06,2023-07-20 00:59:20,14.016s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-20 00:59:06,2023-07-20 00:59:12,5.990s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-20 00:59:12,2023-07-20 00:59:13,0.493s,PASSED
navigateToUrl(G_URL),Chrome 114.0.0.0,,,2023-07-20 00:59:13,2023-07-20 00:59:14,1.452s,PASSED
"click(findTestObject(""Object Repository/Page_STORE/a_Log in""))",Chrome 114.0.0.0,,,2023-07-20 00:59:14,2023-07-20 00:59:16,1.308s,PASSED
"setText(findTestObject(""Object Repository/Page_STORE/input_Username_loginusername""), ""testwithkatalon"")",Chrome 114.0.0.0,,,2023-07-20 00:59:16,2023-07-20 00:59:17,1.113s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_STORE/input_Password_loginpassword""), ""P9ET2sDE0SE="")",Chrome 114.0.0.0,,,2023-07-20 00:59:17,2023-07-20 00:59:18,1.478s,PASSED
"click(findTestObject(""Object Repository/Page_STORE/button_Log in""))",Chrome 114.0.0.0,,,2023-07-20 00:59:18,2023-07-20 00:59:19,0.451s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-07-20 00:59:19,2023-07-20 00:59:20,1.293s,PASSED
