Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
visual,Chrome 114.0.0.0,,,2023-07-23 14:39:49,2023-07-23 14:40:07,18.951s,PASSED
,,,,,,,
Test Cases/Navigation Bar/Login/Login With Invalid Account - Copy,Chrome 114.0.0.0,,,2023-07-23 14:39:49,2023-07-23 14:40:07,18.596s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-23 14:39:49,2023-07-23 14:39:54,4.823s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-23 14:39:54,2023-07-23 14:39:55,0.530s,PASSED
navigateToUrl(G_URL),Chrome 114.0.0.0,,,2023-07-23 14:39:55,2023-07-23 14:39:57,2.189s,PASSED
"click(findTestObject(""Object Repository/Page_STORE/a_Log in""))",Chrome 114.0.0.0,,,2023-07-23 14:39:57,2023-07-23 14:39:57,0.470s,PASSED
"setText(findTestObject(""Object Repository/Page_STORE/input_Username_loginusername""), ""testwithkatalon7"")",Chrome 114.0.0.0,,,2023-07-23 14:39:57,2023-07-23 14:39:59,1.149s,PASSED
"setEncryptedText(findTestObject(""Page_STORE/input_Password_loginpassword""), ""P9ET2sDE0SE="")",Chrome 114.0.0.0,,,2023-07-23 14:39:59,2023-07-23 14:39:59,0.503s,PASSED
"takeFullPageScreenshotAsCheckpoint(""test"", STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-23 14:39:59,2023-07-23 14:40:04,4.691s,PASSED
"click(findTestObject(""Object Repository/Page_STORE/button_Log in""))",Chrome 114.0.0.0,,,2023-07-23 14:40:04,2023-07-23 14:40:04,0.385s,PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-23 14:40:04,2023-07-23 14:40:06,2.094s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-07-23 14:40:06,2023-07-23 14:40:07,1.288s,PASSED
